290	6354	48446	17192	48996
291	9008	30588	37536	17360
292	9010	30591	37537	17361
293	9011	30590	37538	17362
294	20411	1609	37690	14939
295	43564	17220	48456	5581
296	2048	35163	13551	22122
297	7877	20245	25337	32006
298	2533	27452	14868	40910
299	23032	1779	24485	14087
300	35666	16728	46865	2178
301	34967	45513	13608	22260
302	34969	45515	13609	22261
303	20011	7427	23467	23568
304	28216	34728	23339	8696
305	14962	39143	15436	3208
306	1082	20894	9167	23059
307	1084	20895	9169	23061
308	6607	50685	16477	45186
309	6135	18854	21859	41662
310	6137	18856	21860	41663
311	9644	30603	41715	21060
312	25145	756	757	31786
313	25147	557	558	31787
314	25146	358	359	31784
315	25148	159	160	31785
316	20675	15118	29195	8376
317	5332	26923	13741	33482
318	29085	30951	22937	8927
319	39543	26408	50121	2268
320	39545	26409	50120	2269
321	26518	35432	23748	8211
322	50469	48971	2519	18966
323	27711	4187	43949	14682
324	1986	40842	13764	17886
325	13766	17888	1987	40843
326	17782	51019	17866	6499
327	6779	26944	11551	24729
328	6780	26942	11550	24730
329	17829	28089	27453	24689
330	17830	8949	27454	24691
331	43732	31475	18547	6161
332	43733	6160	18546	31476
333	43734	6162	18548	31477
334	20189	16108	19968	6068
335	11159	20185	14681	42504
336	11160	20186	51237	42505
337	21230	14490	22729	7399
338	36933	23376	10243	32537
339	9014	21803	6777	22612
340	45214	14034	32908	2250
341	50424	23108	6909	38915
342	8960	18091	5544	26016
343	32036	18093	26017	8962
344	30325	14183	31797	4436
345	31547	11035	18149	32555
346	17834	50908	17867	6500
347	1542	22828	12085	29203
348	15393	20036	21151	1365
349	21284	6550	40774	15587
350	21285	6551	40773	15589
351	21287	6553	40776	15593
352	21286	6552	40775	15590
353	26903	6118	35137	14616
354	26904	6120	35138	14617
355	1061	24261	12506	27143
356	6880	19869	7188	18726
357	19072	6254	33071	32971
358	40420	4469	28498	14197
359	15605	4848	16709	26773
360	12043	20764	4058	30590
361	12045	20765	4059	30589
362	1786	19287	6388	16926
363	5712	42594	23472	16425
364	24873	33476	23013	7827
365	13892	23826	4581	35955
366	6717	12121	39118	23623
367	33852	1095	30100	17199
368	27167	16094	43166	2259
369	20616	3079	23782	14910
370	1251	37862	13388	18822
371	45563	2331	17783	45732
372	21575	34475	42463	15743
373	20034	21149	18922	1361
374	20035	21150	18923	1363
375	20037	21152	18925	1367
376	44763	25318	8259	17617
377	1925	16571	6348	19579
378	6497	51076	17832	50906
379	9839	30154	46270	18704
380	14155	37447	2436	22389
381	14156	37448	2437	22390
382	3272	17536	39591	12017
383	22082	3936	41234	14407
384	5814	18346	22799	33172
385	5811	18345	22800	33173
386	19913	15225	27155	6067
387	19914	15226	27156	6069
388	51063	2727	30961	14140
389	16847	1368	17867	43090
390	1734	28974	10986	20173
391	10988	20175	1736	28976
392	1735	28975	10987	20174
393	41514	33654	10672	20307
394	41703	1364	44881	14496
395	10843	35891	4381	16024
396	8535	22686	34773	28508
397	19073	6255	33407	32972
398	19075	6257	33408	32974
399	46085	15899	49640	17261
400	11989	24498	8453	29624
401	26062	7496	42964	14107
402	46216	14741	32266	945
403	21400	1354	21696	35908
404	33991	18786	18929	1220
405	8673	22655	4064	21720
406	3020	35279	29690	18688
407	28101	12670	39625	15397
408	29734	5813	26303	17151
409	29732	5812	26302	17153
410	9736	22590	4302	22672
411	35284	13993	28668	4681
412	42963	14106	26755	7497
413	42965	14108	26754	7498
414	23159	14238	37158	3021
